user,tweets,labels,follows,cleaned,cleaned_transform,bigram,trigram
user1,"b'RT @2tweetaboutit: ""The enemy within: Muslim Mayor of London, Sadiq Khan, refuses to support  ban of Hezbollah terror group, says he must c\xe2\x80\xa6'",3,following1,enemy within muslim mayor london sadiq khan refuse support ban hezbollah terror group say must c,the enemy within muslim mayor of london sadiq khan refuses to support ban of hezbollah terror group says he must c,"[('enemy', 'within'), ('within', 'muslim'), ('muslim', 'mayor'), ('mayor', 'london'), ('london', 'sadiq'), ('sadiq', 'khan'), ('khan', 'refuse'), ('refuse', 'support'), ('support', 'ban'), ('ban', 'hezbollah'), ('hezbollah', 'terror'), ('terror', 'group'), ('group', 'say'), ('say', 'must'), ('must', 'c')]","[('enemy', 'within', 'muslim'), ('within', 'muslim', 'mayor'), ('muslim', 'mayor', 'london'), ('mayor', 'london', 'sadiq'), ('london', 'sadiq', 'khan'), ('sadiq', 'khan', 'refuse'), ('khan', 'refuse', 'support'), ('refuse', 'support', 'ban'), ('support', 'ban', 'hezbollah'), ('ban', 'hezbollah', 'terror'), ('hezbollah', 'terror', 'group'), ('terror', 'group', 'say'), ('group', 'say', 'must'), ('say', 'must', 'c')]"
user1,b'RT @kazmc39: Have spoken with this butchers and they confirm they don\xe2\x80\x99t sell halal/kosher (stunned or temporarily stunned) so deserve our s\xe2\x80\xa6',0,following1,spoken butcher confirm sell halalkosher stunned temporarily stunned deserve,have spoken with this butchers and they confirm they don sell halalkosher stunned or temporarily stunned so deserve our s,"[('spoken', 'butcher'), ('butcher', 'confirm'), ('confirm', 'sell'), ('sell', 'halalkosher'), ('halalkosher', 'stunned'), ('stunned', 'temporarily'), ('temporarily', 'stunned'), ('stunned', 'deserve')]","[('spoken', 'butcher', 'confirm'), ('butcher', 'confirm', 'sell'), ('confirm', 'sell', 'halalkosher'), ('sell', 'halalkosher', 'stunned'), ('halalkosher', 'stunned', 'temporarily'), ('stunned', 'temporarily', 'stunned'), ('temporarily', 'stunned', 'deserve')]"
user1,b'@TRobinsonOnline What a fucking disgrace that guy is pussy covering his face up he needs to fuck off out of the UK',1,following1,fucking disgrace guy pussy covering face need fuck uk,what a fucking disgrace that guy is pussy covering his face up he needs to fuck off out of the uk,"[('fucking', 'disgrace'), ('disgrace', 'guy'), ('guy', 'pussy'), ('pussy', 'covering'), ('covering', 'face'), ('face', 'need'), ('need', 'fuck'), ('fuck', 'uk')]","[('fucking', 'disgrace', 'guy'), ('disgrace', 'guy', 'pussy'), ('guy', 'pussy', 'covering'), ('pussy', 'covering', 'face'), ('covering', 'face', 'need'), ('face', 'need', 'fuck'), ('need', 'fuck', 'uk')]"
user1,b'@WestmonsterUK It just proves the British people are more about common sense an been  realists',4,following1,prof british people common sense realist,it just proves the british people are more about common sense an been realists,"[('prof', 'british'), ('british', 'people'), ('people', 'common'), ('common', 'sense'), ('sense', 'realist')]","[('prof', 'british', 'people'), ('british', 'people', 'common'), ('people', 'common', 'sense'), ('common', 'sense', 'realist')]"
user1,b'RT @Graham_British: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7@ForBritainParty \xf0\x9f\x94\xb1\n\nChange is on the way @theresa_may @jeremycorbyn no longer will we allow our Parliament to be used\xe2\x80\xa6',4,following1,way longer allow parliament used,is on the way no longer will we allow our parliament to be used,"[('way', 'longer'), ('longer', 'allow'), ('allow', 'parliament'), ('parliament', 'used')]","[('way', 'longer', 'allow'), ('longer', 'allow', 'parliament'), ('allow', 'parliament', 'used')]"
user1,b'@Jacob_Rees_Mogg People are at the end of their tether with all this nonsense an shit talking just leave now no dea\xe2\x80\xa6 https://t.co/JdDw6qGwtP',1,following1,people end tether nonsense shit talking leave dea,people are at the end of their tether with all this nonsense an shit talking just leave now no dea,"[('people', 'end'), ('end', 'tether'), ('tether', 'nonsense'), ('nonsense', 'shit'), ('shit', 'talking'), ('talking', 'leave'), ('leave', 'dea')]","[('people', 'end', 'tether'), ('end', 'tether', 'nonsense'), ('tether', 'nonsense', 'shit'), ('nonsense', 'shit', 'talking'), ('shit', 'talking', 'leave'), ('talking', 'leave', 'dea')]"
user1,"b'RT @OrwellNGoode: Remember how ""It\'s Okay To Be White"" was considered racist by Westerners? https://t.co/LGPeuaRvgl'",4,following1,remember okay white considered racist westerner,remember how its okay to be white was considered racist by westerners,"[('remember', 'okay'), ('okay', 'white'), ('white', 'considered'), ('considered', 'racist'), ('racist', 'westerner')]","[('remember', 'okay', 'white'), ('okay', 'white', 'considered'), ('white', 'considered', 'racist'), ('considered', 'racist', 'westerner')]"
user1,b'@timmehhh73 @GMPOldham This is persecution of the of the white British the police spend so much time on social medi\xe2\x80\xa6 https://t.co/Yd20E4u7V0',4,following1,persecution white british police spend much time social medi,this is persecution of the of the white british the police spend so much time on social medi,"[('persecution', 'white'), ('white', 'british'), ('british', 'police'), ('police', 'spend'), ('spend', 'much'), ('much', 'time'), ('time', 'social'), ('social', 'medi')]","[('persecution', 'white', 'british'), ('white', 'british', 'police'), ('british', 'police', 'spend'), ('police', 'spend', 'much'), ('spend', 'much', 'time'), ('much', 'time', 'social'), ('time', 'social', 'medi')]"
user1,b'@GMPOldham Lol freedom of speech allows u to critisice ... agree to disagree',4,following1,lol freedom speech allows u critisice agree disagree,lol freedom of speech allows u to critisice agree to disagree,"[('lol', 'freedom'), ('freedom', 'speech'), ('speech', 'allows'), ('allows', 'u'), ('u', 'critisice'), ('critisice', 'agree'), ('agree', 'disagree')]","[('lol', 'freedom', 'speech'), ('freedom', 'speech', 'allows'), ('speech', 'allows', 'u'), ('allows', 'u', 'critisice'), ('u', 'critisice', 'agree'), ('critisice', 'agree', 'disagree')]"
user1,b'RT @Neologicality: ATTENTION THERESA MAY &amp; AMBER RUDD !! \n\nI am the one on the left !!\nI am 80 years old and wish to publicly inform you th\xe2\x80\xa6',4,following1,attention theresa may amp amber rudd one left 80 year old wish publicly inform th,attention theresa may amp amber rudd am the one on the left am 80 years old and wish to publicly inform you th,"[('attention', 'theresa'), ('theresa', 'may'), ('may', 'amp'), ('amp', 'amber'), ('amber', 'rudd'), ('rudd', 'one'), ('one', 'left'), ('left', '80'), ('80', 'year'), ('year', 'old'), ('old', 'wish'), ('wish', 'publicly'), ('publicly', 'inform'), ('inform', 'th')]","[('attention', 'theresa', 'may'), ('theresa', 'may', 'amp'), ('may', 'amp', 'amber'), ('amp', 'amber', 'rudd'), ('amber', 'rudd', 'one'), ('rudd', 'one', 'left'), ('one', 'left', '80'), ('left', '80', 'year'), ('80', 'year', 'old'), ('year', 'old', 'wish'), ('old', 'wish', 'publicly'), ('wish', 'publicly', 'inform'), ('publicly', 'inform', 'th')]"
user1,"b'RT @BrendanPickett: ""Your first job is to believe that change is possible.""\n\n@AMDWaters \n\n@Sarnjc1 @ForBritainParty @CllrBSilvester @Anish_\xe2\x80\xa6'",4,following1,first job believe change possible,your first job is to believe that change is possible,"[('first', 'job'), ('job', 'believe'), ('believe', 'change'), ('change', 'possible')]","[('first', 'job', 'believe'), ('job', 'believe', 'change'), ('believe', 'change', 'possible')]"
user1,b'Wow absolutely disgusting Blatant racism https://t.co/8bBz3Hk3SZ',4,following1,wow absolutely disgusting blatant racism,wow absolutely disgusting blatant racism,"[('wow', 'absolutely'), ('absolutely', 'disgusting'), ('disgusting', 'blatant'), ('blatant', 'racism')]","[('wow', 'absolutely', 'disgusting'), ('absolutely', 'disgusting', 'blatant'), ('disgusting', 'blatant', 'racism')]"
user1,"b'RT @2tweetaboutit: Turkish leaders, including Muslim President Recep Tayyip Erdo\xc4\x9fan and a member of ruling Justice and Development Party (A\xe2\x80\xa6'",4,following1,turkish leader including muslim president recep tayyip erdo member ruling justice development party,turkish leaders including muslim president recep tayyip erdo and a member of ruling justice and development party a,"[('turkish', 'leader'), ('leader', 'including'), ('including', 'muslim'), ('muslim', 'president'), ('president', 'recep'), ('recep', 'tayyip'), ('tayyip', 'erdo'), ('erdo', 'member'), ('member', 'ruling'), ('ruling', 'justice'), ('justice', 'development'), ('development', 'party')]","[('turkish', 'leader', 'including'), ('leader', 'including', 'muslim'), ('including', 'muslim', 'president'), ('muslim', 'president', 'recep'), ('president', 'recep', 'tayyip'), ('recep', 'tayyip', 'erdo'), ('tayyip', 'erdo', 'member'), ('erdo', 'member', 'ruling'), ('member', 'ruling', 'justice'), ('ruling', 'justice', 'development'), ('justice', 'development', 'party')]"
user1,b'@TuffsLiam @AliDawow This is probably made up for camera I have nothing against Muslims but Islam has no place in the UK',0,following1,probably made camera nothing muslim islam place uk,this is probably made up for camera i have nothing against muslims but islam has no place in the uk,"[('probably', 'made'), ('made', 'camera'), ('camera', 'nothing'), ('nothing', 'muslim'), ('muslim', 'islam'), ('islam', 'place'), ('place', 'uk')]","[('probably', 'made', 'camera'), ('made', 'camera', 'nothing'), ('camera', 'nothing', 'muslim'), ('nothing', 'muslim', 'islam'), ('muslim', 'islam', 'place'), ('islam', 'place', 'uk')]"
user1,b'RT @UK__News: 5 days in London:\n\n\xe2\x9d\x8cFatal shooting in Walthamstow\n\xe2\x9d\x8cFatal stabbing in Chadwell Heath \n\xe2\x9d\x8cFatal shooting &amp; stabbing in Enfield\n\xe2\x9d\x8cF\xe2\x80\xa6',4,following1,5 day london shooting walthamstow stabbing chadwell heath shooting amp stabbing enfield,5 days in london shooting in walthamstow stabbing in chadwell heath shooting amp stabbing in enfield,"[('5', 'day'), ('day', 'london'), ('london', 'shooting'), ('shooting', 'walthamstow'), ('walthamstow', 'stabbing'), ('stabbing', 'chadwell'), ('chadwell', 'heath'), ('heath', 'shooting'), ('shooting', 'amp'), ('amp', 'stabbing'), ('stabbing', 'enfield')]","[('5', 'day', 'london'), ('day', 'london', 'shooting'), ('london', 'shooting', 'walthamstow'), ('shooting', 'walthamstow', 'stabbing'), ('walthamstow', 'stabbing', 'chadwell'), ('stabbing', 'chadwell', 'heath'), ('chadwell', 'heath', 'shooting'), ('heath', 'shooting', 'amp'), ('shooting', 'amp', 'stabbing'), ('amp', 'stabbing', 'enfield')]"
user1,b'RT @52vincentblack: UK Dream team.@TRobinsonNewEra @AMDWaters @KTHopkins @DouglasKMurray Retweet.Let this people know WE are behind them!!\xe2\x80\xa6',4,following1,uk dream team retweetlet people know behind,uk dream team retweetlet this people know we are behind them,"[('uk', 'dream'), ('dream', 'team'), ('team', 'retweetlet'), ('retweetlet', 'people'), ('people', 'know'), ('know', 'behind')]","[('uk', 'dream', 'team'), ('dream', 'team', 'retweetlet'), ('team', 'retweetlet', 'people'), ('retweetlet', 'people', 'know'), ('people', 'know', 'behind')]"
user1,b'Arrest @theresa_may for treason ...',3,following1,arrest treason,arrest for treason,"[('arrest', 'treason')]",[]
user1,"b'RT @RedHotSquirrel: It was Rudd, allegedly. \n\nHome Secretary signed off on the deal to give \xc2\xa3490million Britain blue passport contract to t\xe2\x80\xa6'",4,following1,rudd allegedly secretary signed deal give britain blue passport contract,it was rudd allegedly secretary signed off on the deal to give britain blue passport contract to t,"[('rudd', 'allegedly'), ('allegedly', 'secretary'), ('secretary', 'signed'), ('signed', 'deal'), ('deal', 'give'), ('give', 'britain'), ('britain', 'blue'), ('blue', 'passport'), ('passport', 'contract')]","[('rudd', 'allegedly', 'secretary'), ('allegedly', 'secretary', 'signed'), ('secretary', 'signed', 'deal'), ('signed', 'deal', 'give'), ('deal', 'give', 'britain'), ('give', 'britain', 'blue'), ('britain', 'blue', 'passport'), ('blue', 'passport', 'contract')]"
user1,b'RT @StirringTrouble: Here is a reminder to all Remainers: the debate whether it was a good or a bad idea for Britain to leave the EU ended\xe2\x80\xa6',4,following1,reminder remainers debate whether good bad idea britain leave eu ended,here is a reminder to all remainers the debate whether it was a good or a bad idea for britain to leave the eu ended,"[('reminder', 'remainers'), ('remainers', 'debate'), ('debate', 'whether'), ('whether', 'good'), ('good', 'bad'), ('bad', 'idea'), ('idea', 'britain'), ('britain', 'leave'), ('leave', 'eu'), ('eu', 'ended')]","[('reminder', 'remainers', 'debate'), ('remainers', 'debate', 'whether'), ('debate', 'whether', 'good'), ('whether', 'good', 'bad'), ('good', 'bad', 'idea'), ('bad', 'idea', 'britain'), ('idea', 'britain', 'leave'), ('britain', 'leave', 'eu'), ('leave', 'eu', 'ended')]"
user1,b'RT @WestmonsterUK: MAD: Government announce freedom of movement to be extended to Croatia this year. \n\nThe British people voted to end open\xe2\x80\xa6',4,following1,mad government announce freedom movement extended croatia year british people voted end open,mad government announce freedom of movement to be extended to croatia this year british people voted to end open,"[('mad', 'government'), ('government', 'announce'), ('announce', 'freedom'), ('freedom', 'movement'), ('movement', 'extended'), ('extended', 'croatia'), ('croatia', 'year'), ('year', 'british'), ('british', 'people'), ('people', 'voted'), ('voted', 'end'), ('end', 'open')]","[('mad', 'government', 'announce'), ('government', 'announce', 'freedom'), ('announce', 'freedom', 'movement'), ('freedom', 'movement', 'extended'), ('movement', 'extended', 'croatia'), ('extended', 'croatia', 'year'), ('croatia', 'year', 'british'), ('year', 'british', 'people'), ('british', 'people', 'voted'), ('people', 'voted', 'end'), ('voted', 'end', 'open')]"
user1,b'@theresa_may Fuck off u traitor ..',3,following1,fuck u traitor,fuck off u traitor,"[('fuck', 'u'), ('u', 'traitor')]","[('fuck', 'u', 'traitor')]"
user1,"b""RT @david_standing: What's not like about 10 point plan  https://t.co/JyfO5NLuLA""",4,following1,whats like 10 point plan,whats not like about 10 point plan,"[('whats', 'like'), ('like', '10'), ('10', 'point'), ('point', 'plan')]","[('whats', 'like', '10'), ('like', '10', 'point'), ('10', 'point', 'plan')]"
user1,b'RT @CllrBSilvester: Face coverings in public places should be banned. https://t.co/xdKcPPY0Sq',0,following1,face covering public place banned,face coverings in public places should be banned,"[('face', 'covering'), ('covering', 'public'), ('public', 'place'), ('place', 'banned')]","[('face', 'covering', 'public'), ('covering', 'public', 'place'), ('public', 'place', 'banned')]"
user1,b'@LeaveEUOfficial @DailyMailUK Thank u @DailyMailUK for sticking up for the British people',4,following1,thank u sticking british people,thank u for sticking up for the british people,"[('thank', 'u'), ('u', 'sticking'), ('sticking', 'british'), ('british', 'people')]","[('thank', 'u', 'sticking'), ('u', 'sticking', 'british'), ('sticking', 'british', 'people')]"
user1,b'RT @LeaveEUOfficial: Spot on from @DailyMailUK this morning \xf0\x9f\x91\x8d\n\nSupport us at https://t.co/iICfFb8qqg https://t.co/G7byS4pXoF',4,following1,spot morning u,spot on from this morning us at,"[('spot', 'morning'), ('morning', 'u')]","[('spot', 'morning', 'u')]"
user1,b'@hostileholly5w @2053pam This makes me fucking sick lets just recap what happened last time we let people in \xf0\x9f\xa4\x94 https://t.co/hjkvk5kTJB',1,following1,make fucking sick let recap happened last time let people,this makes me fucking sick lets just recap what happened last time we let people in,"[('make', 'fucking'), ('fucking', 'sick'), ('sick', 'let'), ('let', 'recap'), ('recap', 'happened'), ('happened', 'last'), ('last', 'time'), ('time', 'let'), ('let', 'people')]","[('make', 'fucking', 'sick'), ('fucking', 'sick', 'let'), ('sick', 'let', 'recap'), ('let', 'recap', 'happened'), ('recap', 'happened', 'last'), ('happened', 'last', 'time'), ('last', 'time', 'let'), ('time', 'let', 'people')]"
user1,"b'RT @LeaveEUOfficial: Fighting talk from Jacob Rees-Mogg, rightly pointing out that if we were to walk away and take our wallet with us the\xe2\x80\xa6'",4,following1,fighting talk jacob reesmogg rightly pointing walk away take wallet u,fighting talk from jacob reesmogg rightly pointing out that if we were to walk away and take our wallet with us the,"[('fighting', 'talk'), ('talk', 'jacob'), ('jacob', 'reesmogg'), ('reesmogg', 'rightly'), ('rightly', 'pointing'), ('pointing', 'walk'), ('walk', 'away'), ('away', 'take'), ('take', 'wallet'), ('wallet', 'u')]","[('fighting', 'talk', 'jacob'), ('talk', 'jacob', 'reesmogg'), ('jacob', 'reesmogg', 'rightly'), ('reesmogg', 'rightly', 'pointing'), ('rightly', 'pointing', 'walk'), ('pointing', 'walk', 'away'), ('walk', 'away', 'take'), ('away', 'take', 'wallet'), ('take', 'wallet', 'u')]"
user1,b'@Arron_banks @Richlin11a U are a fucking joke may',1,following1,u fucking joke may,u are a fucking joke may,"[('u', 'fucking'), ('fucking', 'joke'), ('joke', 'may')]","[('u', 'fucking', 'joke'), ('fucking', 'joke', 'may')]"
user1,b'@GetBritainOut @theresa_may @AMDWaters @Jacob_Rees_Mogg tell them to fuck off for fucks sake ur lack of balls may i\xe2\x80\xa6 https://t.co/t2Bib2PApy',1,following1,tell fuck fuck sake ur lack ball may,tell them to fuck off for fucks sake ur lack of balls may i,"[('tell', 'fuck'), ('fuck', 'fuck'), ('fuck', 'sake'), ('sake', 'ur'), ('ur', 'lack'), ('lack', 'ball'), ('ball', 'may')]","[('tell', 'fuck', 'fuck'), ('fuck', 'fuck', 'sake'), ('fuck', 'sake', 'ur'), ('sake', 'ur', 'lack'), ('ur', 'lack', 'ball'), ('lack', 'ball', 'may')]"
user1,b'@TRobinsonOnline @metpoliceuk @TRobinsonNewEra All I saw was Muslims attacking whites lol',1,following1,saw muslim attacking white lol,all i saw was muslims attacking whites lol,"[('saw', 'muslim'), ('muslim', 'attacking'), ('attacking', 'white'), ('white', 'lol')]","[('saw', 'muslim', 'attacking'), ('muslim', 'attacking', 'white'), ('attacking', 'white', 'lol')]"
user1,"b'RT @MercianInfidel: By 2066, Britain will be majority non-white. That is 47 years away I believe. Anyone telling you mass immigration is a\xe2\x80\xa6'",2,following1,2066 britain majority nonwhite 47 year away believe anyone telling mass immigration,by 2066 britain will be majority nonwhite that is 47 years away i believe anyone telling you mass immigration is a,"[('2066', 'britain'), ('britain', 'majority'), ('majority', 'nonwhite'), ('nonwhite', '47'), ('47', 'year'), ('year', 'away'), ('away', 'believe'), ('believe', 'anyone'), ('anyone', 'telling'), ('telling', 'mass'), ('mass', 'immigration')]","[('2066', 'britain', 'majority'), ('britain', 'majority', 'nonwhite'), ('majority', 'nonwhite', '47'), ('nonwhite', '47', 'year'), ('47', 'year', 'away'), ('year', 'away', 'believe'), ('away', 'believe', 'anyone'), ('believe', 'anyone', 'telling'), ('anyone', 'telling', 'mass'), ('telling', 'mass', 'immigration')]"
user1,"b""@itsalthesame2me @garysmi35858744 It's about time the people teamed up an forced the government out we run this country not them""",4,following1,time people teamed forced government run country,its about time the people teamed up an forced the government out we run this country not them,"[('time', 'people'), ('people', 'teamed'), ('teamed', 'forced'), ('forced', 'government'), ('government', 'run'), ('run', 'country')]","[('time', 'people', 'teamed'), ('people', 'teamed', 'forced'), ('teamed', 'forced', 'government'), ('forced', 'government', 'run'), ('government', 'run', 'country')]"
user1,b'RT @Colin_Lawton1: Terrorists are not refugees.\nTerrorism is not diversity.\nLiving in fear is not multiculturalism.\nDenying rape/violence i\xe2\x80\xa6',1,following1,terrorist refugee diversity fear multiculturalism rapeviolence,terrorists are not refugees is not diversity in fear is not multiculturalism rapeviolence i,"[('terrorist', 'refugee'), ('refugee', 'diversity'), ('diversity', 'fear'), ('fear', 'multiculturalism'), ('multiculturalism', 'rapeviolence')]","[('terrorist', 'refugee', 'diversity'), ('refugee', 'diversity', 'fear'), ('diversity', 'fear', 'multiculturalism'), ('fear', 'multiculturalism', 'rapeviolence')]"
user1,"b""RT @andyvblue: Remeber this so called Syrian \n'Child Refugee' scumbag that\nAmber Rudderless let in...\nHow's that working out then???\n#trait\xe2\x80\xa6""",1,following1,remeber called syrian child refugee scumbag rudderless let in working thentrait,remeber this so called syrian child refugee scumbag that rudderless let ins that working out thentrait,"[('remeber', 'called'), ('called', 'syrian'), ('syrian', 'child'), ('child', 'refugee'), ('refugee', 'scumbag'), ('scumbag', 'rudderless'), ('rudderless', 'let'), ('let', 'in'), ('in', 'working'), ('working', 'thentrait')]","[('remeber', 'called', 'syrian'), ('called', 'syrian', 'child'), ('syrian', 'child', 'refugee'), ('child', 'refugee', 'scumbag'), ('refugee', 'scumbag', 'rudderless'), ('scumbag', 'rudderless', 'let'), ('rudderless', 'let', 'in'), ('let', 'in', 'working'), ('in', 'working', 'thentrait')]"
user1,"b""RT @Lauren_Southern: 'Allah Is Gay' - Here's What Happened in Luton\nFull video! https://t.co/gPedrlyYqB https://t.co/TqVWMsUdsH""",0,following1,allah gay here happened luton video,allah is gay heres what happened in luton video,"[('allah', 'gay'), ('gay', 'here'), ('here', 'happened'), ('happened', 'luton'), ('luton', 'video')]","[('allah', 'gay', 'here'), ('gay', 'here', 'happened'), ('here', 'happened', 'luton'), ('happened', 'luton', 'video')]"
user1,b'RT @kazmc39: @KTHopkins \n\nAre you joining us Saturday?\n\n(Please pm me for admins details)\n\nPlease everyone could you retweet this please so\xe2\x80\xa6',4,following1,joining u saturdayplease pm admins detail everyone could retweet please,you joining us saturdayplease pm me for admins details everyone could you retweet this please so,"[('joining', 'u'), ('u', 'saturdayplease'), ('saturdayplease', 'pm'), ('pm', 'admins'), ('admins', 'detail'), ('detail', 'everyone'), ('everyone', 'could'), ('could', 'retweet'), ('retweet', 'please')]","[('joining', 'u', 'saturdayplease'), ('u', 'saturdayplease', 'pm'), ('saturdayplease', 'pm', 'admins'), ('pm', 'admins', 'detail'), ('admins', 'detail', 'everyone'), ('detail', 'everyone', 'could'), ('everyone', 'could', 'retweet'), ('could', 'retweet', 'please')]"
